<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MRKY;60;29/08/24;15:00:00;0.06535;0.0655;0.06515;0.0653;2110000
MRKY;60;29/08/24;16:00:00;0.0653;0.066;0.06515;0.06575;7970000
MRKY;60;29/08/24;17:00:00;0.0657;0.0657;0.06515;0.06515;4610000
MRKY;60;29/08/24;18:00:00;0.0654;0.06545;0.0652;0.06545;450000
MRKY;60;29/08/24;19:00:00;0.0655;0.0656;0.0652;0.0654;1380000
MRKY;60;30/08/24;11:00:00;0.0651;0.0655;0.0651;0.06525;2060000
MRKY;60;30/08/24;12:00:00;0.0652;0.06525;0.06475;0.06495;5030000
MRKY;60;30/08/24;13:00:00;0.06485;0.06485;0.06415;0.06435;4700000
MRKY;60;30/08/24;14:00:00;0.0643;0.0643;0.06295;0.063;11470000
MRKY;60;30/08/24;15:00:00;0.06305;0.06305;0.06255;0.06255;6260000
MRKY;60;30/08/24;16:00:00;0.0626;0.0628;0.06225;0.0628;10240000
MRKY;60;30/08/24;17:00:00;0.06275;0.06285;0.0621;0.0625;7780000
MRKY;60;30/08/24;18:00:00;0.06255;0.06265;0.0622;0.06245;5030000
MRKY;60;30/08/24;19:00:00;0.0625;0.0626;0.06225;0.06255;10030000
MRKY;60;02/09/24;11:00:00;0.0619;0.06395;0.05995;0.06005;39130000
MRKY;60;02/09/24;12:00:00;0.0601;0.0604;0.05805;0.0588;22170000
MRKY;60;02/09/24;13:00:00;0.0589;0.0594;0.05715;0.05835;31470000
MRKY;60;02/09/24;14:00:00;0.0583;0.0589;0.05785;0.0581;8620000
MRKY;60;02/09/24;15:00:00;0.05815;0.05815;0.05725;0.05725;2610000
MRKY;60;02/09/24;16:00:00;0.05725;0.0578;0.05505;0.0559;20260000
MRKY;60;02/09/24;17:00:00;0.0564;0.0569;0.05555;0.0558;12880000
MRKY;60;02/09/24;18:00:00;0.05595;0.0566;0.05505;0.05645;19250000
MRKY;60;02/09/24;19:00:00;0.0565;0.05655;0.0551;0.05575;6340000
MRKY;60;03/09/24;11:00:00;0.056;0.0584;0.05505;0.0555;26170000
MRKY;60;03/09/24;12:00:00;0.05535;0.05745;0.055;0.0571;10230000
MRKY;60;03/09/24;13:00:00;0.05715;0.0577;0.057;0.05705;11170000
MRKY;60;03/09/24;14:00:00;0.05665;0.05745;0.05665;0.057;2110000
MRKY;60;03/09/24;15:00:00;0.057;0.0571;0.0563;0.05635;1640000
MRKY;60;03/09/24;16:00:00;0.05655;0.0566;0.0558;0.0561;2570000
MRKY;60;03/09/24;17:00:00;0.05625;0.0564;0.05625;0.05635;1750000
MRKY;60;03/09/24;18:00:00;0.05635;0.05635;0.05535;0.05575;3830000
MRKY;60;03/09/24;19:00:00;0.0556;0.0557;0.0552;0.05555;5180000
MRKY;60;04/09/24;11:00:00;0.0564;0.05735;0.0556;0.0564;7260000
MRKY;60;04/09/24;12:00:00;0.05655;0.05735;0.05595;0.05685;9560000
MRKY;60;04/09/24;13:00:00;0.05685;0.05685;0.05635;0.0567;2400000
MRKY;60;04/09/24;14:00:00;0.0567;0.0574;0.0567;0.0572;3670000
MRKY;60;04/09/24;15:00:00;0.0571;0.05745;0.05705;0.05715;2110000
MRKY;60;04/09/24;16:00:00;0.05725;0.05735;0.05595;0.0565;21110000
MRKY;60;04/09/24;17:00:00;0.0565;0.05705;0.0565;0.05675;2270000
MRKY;60;04/09/24;18:00:00;0.05675;0.05795;0.05675;0.05715;8580000
MRKY;60;04/09/24;19:00:00;0.0571;0.0578;0.0571;0.0576;6150000
MRKY;60;05/09/24;11:00:00;0.0587;0.0587;0.057;0.05825;25650000
MRKY;60;05/09/24;12:00:00;0.05825;0.0593;0.05815;0.05925;15000000
MRKY;60;05/09/24;13:00:00;0.0593;0.0597;0.0593;0.05965;7640000
MRKY;60;05/09/24;14:00:00;0.05965;0.05965;0.059;0.05905;10150000
MRKY;60;05/09/24;15:00:00;0.05925;0.05995;0.0591;0.0598;11970000
MRKY;60;05/09/24;16:00:00;0.0598;0.05995;0.05865;0.05875;9240000
MRKY;60;05/09/24;17:00:00;0.05885;0.0589;0.05855;0.0587;3750000
MRKY;60;05/09/24;18:00:00;0.05865;0.0588;0.0577;0.05865;12680000
MRKY;60;05/09/24;19:00:00;0.05865;0.0587;0.05765;0.0581;3850000
MRKY;60;06/09/24;11:00:00;0.0585;0.0585;0.0577;0.05795;5210000
MRKY;60;06/09/24;12:00:00;0.05805;0.05825;0.0577;0.05775;2470000
MRKY;60;06/09/24;13:00:00;0.05775;0.05795;0.0577;0.05795;1850000
MRKY;60;06/09/24;14:00:00;0.05825;0.05845;0.0582;0.0582;150000
MRKY;60;06/09/24;15:00:00;0.0581;0.0581;0.0578;0.0578;450000
MRKY;60;06/09/24;16:00:00;0.0579;0.05805;0.05775;0.05805;1560000
MRKY;60;06/09/24;17:00:00;0.05805;0.05825;0.05795;0.05825;1940000
MRKY;60;06/09/24;18:00:00;0.0582;0.05825;0.0579;0.05805;710000
MRKY;60;06/09/24;19:00:00;0.05805;0.0581;0.0579;0.0581;810000
MRKY;60;09/09/24;11:00:00;0.05815;0.0603;0.05795;0.0596;10550000
MRKY;60;09/09/24;12:00:00;0.05945;0.06185;0.05935;0.0608;44770000
MRKY;60;09/09/24;13:00:00;0.0608;0.0617;0.0606;0.0613;14120000
MRKY;60;09/09/24;14:00:00;0.06115;0.0615;0.0605;0.0613;10300000
MRKY;60;09/09/24;15:00:00;0.06115;0.0612;0.0608;0.0609;4760000
MRKY;60;09/09/24;16:00:00;0.06085;0.06085;0.0596;0.06025;15140000
MRKY;60;09/09/24;17:00:00;0.06025;0.0607;0.06;0.06035;5470000
MRKY;60;09/09/24;18:00:00;0.0603;0.06055;0.0602;0.06035;1010000
MRKY;60;09/09/24;19:00:00;0.06055;0.0606;0.06025;0.06025;1140000
MRKY;60;10/09/24;11:00:00;0.0609;0.0617;0.06065;0.06105;10090000
MRKY;60;10/09/24;12:00:00;0.06095;0.06095;0.0601;0.0604;5230000
MRKY;60;10/09/24;13:00:00;0.06035;0.06295;0.0602;0.0625;55200000
MRKY;60;10/09/24;14:00:00;0.0625;0.0629;0.062;0.06225;12240000
MRKY;60;10/09/24;15:00:00;0.06215;0.0626;0.06215;0.06255;5750000
MRKY;60;10/09/24;16:00:00;0.06255;0.0626;0.062;0.0623;12470000
MRKY;60;10/09/24;17:00:00;0.0621;0.06235;0.0621;0.06235;1960000
MRKY;60;10/09/24;18:00:00;0.06235;0.0628;0.0622;0.06225;7250000
MRKY;60;10/09/24;19:00:00;0.06225;0.0625;0.06205;0.06205;5400000
MRKY;60;11/09/24;11:00:00;0.0623;0.0639;0.0621;0.0621;10720000
MRKY;60;11/09/24;12:00:00;0.0621;0.0622;0.06155;0.0618;2190000
MRKY;60;11/09/24;13:00:00;0.06155;0.06165;0.06145;0.06165;1640000
MRKY;60;11/09/24;14:00:00;0.06165;0.06165;0.0616;0.0616;320000
MRKY;60;11/09/24;15:00:00;0.0616;0.06195;0.0616;0.06195;370000
