<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;;;;;;;;<DATE>;<CLOSE>
MRKY;D;22.10.2024;0:00:00;0.06335;0.06345;0.0623;0.06285;43030000;;;;;;;;;;22.10.2024;0,06285
MRKY;D;23.10.2024;0:00:00;0.06285;0.06285;0.06185;0.0621;28630000;;;;;;;;;;23.10.2024;0,0621
MRKY;D;24.10.2024;0:00:00;0.0621;0.0622;0.06015;0.06065;40700000;;;;;;;;;;24.10.2024;0,06065
MRKY;D;25.10.2024;0:00:00;0.0607;0.06115;0.0595;0.061;56520000;;;;;;;;;;25.10.2024;0,061
MRKY;D;26.10.2024;0:00:00;0.0608;0.06185;0.05955;0.0598;27530000;;;;;;;;;;26.10.2024;0,0598
MRKY;D;29.10.2024;0:00:00;0.05985;0.05985;0.05625;0.05665;58420000;;;;;;;;;;29.10.2024;0,05665
MRKY;D;30.10.2024;0:00:00;0.05715;0.05905;0.0568;0.05905;31380000;;;;;;;;;;30.10.2024;0,05905
MRKY;D;31.10.2024;0:00:00;0.05955;0.06145;0.05955;0.0601;23300000;;;;;;;;;;31.10.2024;0,0601
MRKY;D;01.11.2024;0:00:00;0.0601;0.0601;0.057;0.0574;39320000;;;;;;;;;;01.11.2024;0,0574
MRKY;D;02.11.2024;0:00:00;0.0581;0.0581;0.05545;0.05675;33870000;;;;;;;;;;02.11.2024;0,05675
MRKY;D;03.11.2024;0:00:00;0.0569;0.05745;0.0562;0.05685;16700000;;;;;;;;;;03.11.2024;0,05685
MRKY;D;06.11.2024;0:00:00;0.05695;0.0574;0.05615;0.05705;21470000;;;;;;;;;;06.11.2024;0,05705
MRKY;D;07.11.2024;0:00:00;0.05765;0.0595;0.05705;0.0577;89870000;;;;;;;;;;07.11.2024;0,0577
MRKY;D;08.11.2024;0:00:00;0.05885;0.061;0.0584;0.05895;98150000;;;;;;;;;;08.11.2024;0,05895
MRKY;D;09.11.2024;0:00:00;0.05925;0.0621;0.0585;0.0606;110310000;;;;;;;;;;09.11.2024;0,0606
MRKY;D;12.11.2024;0:00:00;0.0608;0.0625;0.05945;0.0615;80900000;;;;;;;;;;12.11.2024;0,0615
MRKY;D;13.11.2024;0:00:00;0.0615;0.0632;0.061;0.0617;42480000;;;;;;;;;;13.11.2024;0,0617
MRKY;D;14.11.2024;0:00:00;0.06155;0.06275;0.06105;0.0618;29930000;;;;;;;;;;14.11.2024;0,0618
MRKY;D;15.11.2024;0:00:00;0.06135;0.0616;0.0587;0.0607;73580000;;;;;;;;;;15.11.2024;0,0607
MRKY;D;16.11.2024;0:00:00;0.06065;0.0625;0.0605;0.06155;92340000;;;;;;;;;;16.11.2024;0,06155
MRKY;D;19.11.2024;0:00:00;0.06085;0.061;0.05925;0.0595;16900000;;;;;;;;;;19.11.2024;0,0595
MRKY;D;20.11.2024;0:00:00;0.06005;0.06005;0.0576;0.0581;63260000;;;;;;;;;;20.11.2024;0,0581
MRKY;D;21.11.2024;0:00:00;0.05845;0.05845;0.05705;0.05705;18790000;;;;;;;;;;21.11.2024;0,05705
MRKY;D;22.11.2024;0:00:00;0.05765;0.05795;0.05555;0.0562;17700000;;;;;;;;;;22.11.2024;0,0562
MRKY;D;23.11.2024;0:00:00;0.0557;0.0573;0.0551;0.0559;31220000;;;;;;;;;;23.11.2024;0,0559
MRKY;D;26.11.2024;0:00:00;0.0562;0.0586;0.0552;0.0557;25650000;;;;;;;;;;26.11.2024;0,0557
MRKY;D;27.11.2024;0:00:00;0.0564;0.0567;0.051;0.0511;59890000;;;;;;;;;;27.11.2024;0,0511
MRKY;D;28.11.2024;0:00:00;0.0515;0.0525;0.04715;0.0491;45230000;;;;;;;;;;28.11.2024;0,0491
MRKY;D;29.11.2024;0:00:00;0.0508;0.051;0.04915;0.0504;32050000;;;;;;;;;;29.11.2024;0,0504
MRKY;D;30.11.2024;0:00:00;0.05085;0.05195;0.04985;0.05015;50430000;;;;;;;;;;30.11.2024;0,05015
MRKY;D;03.12.2024;0:00:00;0.0511;0.05405;0.05025;0.05175;30980000;;;;;;;;;;03.12.2024;0,05175
MRKY;D;04.12.2024;0:00:00;0.05155;0.0544;0.05;0.0505;54430000;;;;;;;;;;04.12.2024;0,0505
MRKY;D;05.12.2024;0:00:00;0.05165;0.0521;0.04915;0.0495;19940000;;;;;;;;;;05.12.2024;0,0495
MRKY;D;06.12.2024;0:00:00;0.04885;0.05;0.0476;0.04895;15610000;;;;;;;;;;06.12.2024;0,04895
MRKY;D;07.12.2024;0:00:00;0.0495;0.0503;0.04865;0.04955;5320000;;;;;;;;;;07.12.2024;0,04955
MRKY;D;10.12.2024;0:00:00;0.04895;0.0504;0.04895;0.05;13480000;;;;;;;;;;10.12.2024;0,05
MRKY;D;11.12.2024;0:00:00;0.0497;0.0501;0.04905;0.0493;6160000;;;;;;;;;;11.12.2024;0,0493
MRKY;D;12.12.2024;0:00:00;0.05;0.05;0.04775;0.0481;13420000;;;;;;;;;;12.12.2024;0,0481
MRKY;D;13.12.2024;0:00:00;0.0488;0.049;0.0473;0.04755;14420000;;;;;;;;;;13.12.2024;0,04755
